Year,Population (million),GWP/capita (1990 $),GWP (billion 1990 $)
-10000,14,400,1.60
-5000,27,404,2.02
-4000,50,409,2.87
-3000,100,421,5.90
-2000,150,433,11.7
-1000,168,444,22.2
-500,190,457,45.7
-200,190,465,69.7
0,190,467,78.4
200,200,463,88.0
400,210,463,88.0
500,220,463,88.0
600,240,462,92.3
700,265,460,96.6
800,320,459,101
900,360,456,109
1000,360,453,120
1100,350,512,164
1200,438,551,198
1300,556,551,198
1400,603,541,190
1500,1042,625,274
1600,1276,629,350
1700,1563,658,397
1820,1793,712,741
1870,1863,884,1128
1900,2299,,
1913,2528,1543,1608
1920,2572,,
1940,2618,2181,3409
1950,2666,2104,3772
1951,2717,2191,4083
1952,2769,2250,5174
1953,2823,2320,5865
1954,2880,2353,6051
1955,2939,2457,6432
1956,2996,2524,6730
1957,3042,2567,6975
1958,3082,2596,7189
1959,3136,2665,7522
1960,3201,2764,7960
1961,3266,2821,8292
1962,3333,2902,8695
1963,3402,2965,9018
1964,3471,3118,9609
1965,3543,3218,10090
1966,,3326,11315
1967,,3381,11738
1968,,3494,12379
1969,3616,3613,13063
1970,3691,3725,13751
1971,3770,3797,14315
1972,3846,3901,15004
1973,3923,4081,16009
1974,3998,4097,16378
1975,4071,4086,16634
1976,4141,4213,17448
1977,4214,4308,18154
1978,4286,4422,18953
1979,4363,4500,19632
1980,4440,4511,20026
1981,4515,4523,20419
1982,4587,4500,20644
1983,4676,4539,21226
1984,4757,4668,22201
1985,4838,4748,22967
1986,4921,4832,23779
1987,5007,4932,24692
1988,5093,5056,25753
1989,5181,5133,26592
1990,5269,5149,27133
1991,5352,5141,27517
1992,5436,5163,28065
1993,5518,5201,28702
1994,5599,5305,29705
1995,5682,5443,30927
1996,5762,5547,31962
1997,5842,5688,33229
1998,5921,5718,33855
1999,6000,5850,35099
2000,6077,6057,36806
2001,6155,6161,37918
2002,6232,6303,39281
2003,6308,6526,41167
2004,6374,6782,43228
2005,6463,7001,45249
2006,6544,7276,47610
2007,6625,7504,49711
2008,6707,7626,51148
2009,6790,7478,50775
2010,6873,7814,53704
2011,6956,8051,56003
2012,7040,8234,57969
2013,7124,8422,59994
2014,7207,8623,62147
2015,7291,8821,64310
2016,7374,9021,66519
2017,7457,9266,69093
2018,7539,9493,71566
2019,7620,9663,73640
